pickup_date,avg_tip_percent
2015-01-01,10.36
2015-01-02,11.07
2015-01-03,10.97
2015-01-04,11.63
2015-01-05,12.32
2015-01-06,14.42
2015-01-07,13.26
2015-01-08,13.32
2015-01-09,17.78
2015-01-10,13.83
2015-01-11,12.78
2015-01-12,13.69
2015-01-13,13.69
2015-01-14,13.7
2015-01-15,13.63
2015-01-16,13.68
2015-01-17,12.17
2015-01-18,56.32
2015-01-19,12.88
2015-01-20,13.79
2015-01-21,14.32
2015-01-22,14.09
2015-01-23,15.26
2015-01-24,12.97
2015-01-25,13.21
2015-01-26,13.17
2015-01-27,13.9
2015-01-28,13.88
2015-01-29,13.9
2015-01-30,13.65
2015-01-31,13.08
2016-01-01,11.72
2016-01-02,11.93
2016-01-03,12.76
2016-01-04,13.88
2016-01-05,14.17
2016-01-06,14.35
2016-01-07,14.48
2016-01-08,14.39
2016-01-09,13.68
2016-01-10,13.96
2016-01-11,15.94
2016-01-12,14.9
2016-01-13,15.11
2016-01-14,15.0
2016-01-15,18.28
2016-01-16,15.27
2016-01-17,13.96
2016-01-18,14.8
2016-01-19,15.31
2016-01-20,15.05
2016-01-21,17.01
2016-01-22,14.64
2016-01-23,14.9
2016-01-24,13.89
2016-01-25,14.32
2016-01-26,24.5
2016-01-27,14.94
2016-01-28,14.96
2016-01-29,14.69
2016-01-30,15.31
2016-01-31,14.41
2016-02-01,14.75
2016-02-02,15.08
2016-02-03,15.56
2016-02-04,15.14
2016-02-05,15.52
2016-02-06,13.74
2016-02-07,15.71
2016-02-08,15.56
2016-02-09,16.37
2016-02-10,17.75
2016-02-11,17.94
2016-02-12,16.02
2016-02-13,13.52
2016-02-14,13.55
2016-02-15,13.96
2016-02-16,14.93
2016-02-17,14.72
2016-02-18,14.78
2016-02-19,14.5
2016-02-20,13.61
2016-02-21,13.97
2016-02-22,14.74
2016-02-23,14.98
2016-02-24,15.2
2016-02-25,15.13
2016-02-26,14.54
2016-02-27,13.6
2016-02-28,13.76
2016-02-29,14.65
2016-03-01,16.77
2016-03-02,15.16
2016-03-03,14.98
2016-03-04,14.6
2016-03-05,18.8
2016-03-06,15.33
2016-03-07,15.87
2016-03-08,14.8
2016-03-09,14.82
2016-03-10,19.35
2016-03-11,14.6
2016-03-12,13.43
2016-03-13,13.58
2016-03-14,14.5
2016-03-15,14.71
2016-03-16,17.89
2016-03-17,14.63
2016-03-18,14.29
2016-03-19,13.49
2016-03-20,13.82
2016-03-21,14.33
2016-03-22,15.9
2016-03-23,14.54
2016-03-24,24.73
2016-03-25,13.74
2016-03-26,12.71
2016-03-27,12.88
2016-03-28,13.93
2016-03-29,14.53
2016-03-30,14.6
2016-03-31,14.52
